date,product,product encoded,market,size,price
43467.00,Aleika High Grade Flour,0,Bars,kg,
43467.00,Aleika High Grade Flour,0,Bayanzurkh,kg,
43467.00,Aleika High Grade Flour,0,Bumbugur,kg,
43467.00,Aleika High Grade Flour,0,Emart,kg,
43467.00,Aleika High Grade Flour,0,Kharkhorin,kg,
43467.00,Aleika High Grade Flour,0,Khuchit Shonkhor,kg,
43467.00,Aleika High Grade Flour,0,Max/M Mart,kg,
43467.00,Aleika High Grade Flour,0,Mercury/Ikh Nayad,kg,
43467.00,Aleika High Grade Flour,0,Nomin,kg,
43467.00,Aleika High Grade Flour,0,Orgil,kg,
43467.00,Aleika High Grade Flour,0,Sansar,kg,
43467.00,Aleika High Grade Flour,0,Saruul,kg,
43467.00,Aleika High Grade Flour,0,Tavan Erdene,kg,
43467.00,"Altan Taria Flour, First Grade",1,Bars,kg,950
43467.00,"Altan Taria Flour, First Grade",1,Bayanzurkh,kg,1100
43467.00,"Altan Taria Flour, First Grade",1,Bumbugur,kg,1000
43467.00,"Altan Taria Flour, First Grade",1,Emart,kg,1080
43467.00,"Altan Taria Flour, First Grade",1,Kharkhorin,kg,1100
43467.00,"Altan Taria Flour, First Grade",1,Khuchit Shonkhor,kg,1050
43467.00,"Altan Taria Flour, First Grade",1,Max/M Mart,kg,1012
43467.00,"Altan Taria Flour, First Grade",1,Mercury/Ikh Nayad,kg,
43467.00,"Altan Taria Flour, First Grade",1,Nomin,kg,1010
43467.00,"Altan Taria Flour, First Grade",1,Orgil,kg,1075
43467.00,"Altan Taria Flour, First Grade",1,Sansar,kg,1160
43467.00,"Altan Taria Flour, First Grade",1,Saruul,kg,
43467.00,"Altan Taria Flour, First Grade",1,Tavan Erdene,kg,1100
43467.00,"Altan Taria Flour, High Grade",0,Bars,kg,1250
43467.00,"Altan Taria Flour, High Grade",0,Bayanzurkh,kg,1400
43467.00,"Altan Taria Flour, High Grade",0,Bumbugur,kg,1250
43467.00,"Altan Taria Flour, High Grade",0,Emart,kg,1448
43467.00,"Altan Taria Flour, High Grade",0,Kharkhorin,kg,1300
43467.00,"Altan Taria Flour, High Grade",0,Khuchit Shonkhor,kg,1300
43467.00,"Altan Taria Flour, High Grade",0,Max/M Mart,kg,1410
43467.00,"Altan Taria Flour, High Grade",0,Mercury/Ikh Nayad,kg,
43467.00,"Altan Taria Flour, High Grade",0,Nomin,kg,1400
43467.00,"Altan Taria Flour, High Grade",0,Orgil,kg,1420
43467.00,"Altan Taria Flour, High Grade",0,Sansar,kg,1310
43467.00,"Altan Taria Flour, High Grade",0,Saruul,kg,
43467.00,"Altan Taria Flour, High Grade",0,Tavan Erdene,kg,1300
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Bars,kg,1000
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Bayanzurkh,kg,1100
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Bumbugur,kg,1000
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Emart,kg,1100
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Kharkhorin,kg,1150
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Khuchit Shonkhor,kg,1100
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Max/M Mart,kg,1040
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Mercury/Ikh Nayad,kg,1200
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Nomin,kg,1069
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Orgil,kg,1110
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Sansar,kg,1090
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Saruul,kg,
43467.00,"Altan Taria Packaged Flour, 1st Grade",0,Tavan Erdene,kg,1100
43467.00,"Altan Taria Packaged Flour, 2nd Grade",0,Bars,kg,800
43467.00,"Altan Taria Packaged Flour, 2nd Grade",0,Bayanzurkh,kg,900
